!OMP_NUM_THREADS key E v kr eta mu conf
2 52 1.54000E+10 0.10800 0.28863 0.72840 40.16520 5.0E+5
2 53 4.86990E+07 0.20800 0.43149 0.83951 45.61980 5.0E+5
2 54 4.86990E+09 0.30800 0.57434 0.95062 51.07440 5.0E+5
2 55 4.86990E+08 0.40800 0.71720 0.07407 56.52900 5.0E+5
2 56 4.86990E+10 0.02800 0.86006 0.18519 2.47920 5.0E+5
2 57 2.73855E+07 0.12800 0.02332 0.29630 7.93380 5.0E+5
2 58 2.73855E+09 0.22800 0.16618 0.40741 13.38840 5.0E+5
2 59 2.73855E+08 0.32800 0.30904 0.51852 18.84300 5.0E+5
2 60 2.73855E+10 0.42800 0.45190 0.62963 24.29760 5.0E+5
2 61 8.66004E+07 0.04800 0.59475 0.74074 29.75220 5.0E+5
2 62 8.66004E+09 0.14800 0.73761 0.85185 35.20680 5.0E+5
2 63 8.66004E+08 0.24800 0.88047 0.96296 40.66140 5.0E+5
2 64 8.66004E+10 0.34800 0.04373 0.08642 46.11600 5.0E+5
2 65 1.07458E+07 0.44800 0.18659 0.19753 51.57000 5.0E+5
2 66 1.07458E+09 0.06800 0.32945 0.30864 57.02460 5.0E+5
2 67 1.07458E+08 0.16800 0.47230 0.41975 2.97540 5.0E+5
2 68 1.07458E+10 0.26800 0.61516 0.53086 8.43000 5.0E+5
2 69 3.39813E+07 0.36800 0.75802 0.64198 13.88400 5.0E+5
2 70 3.39813E+09 0.46800 0.90087 0.75309 19.33860 5.0E+5
2 71 3.39813E+08 0.08800 0.06414 0.86420 24.79320 5.0E+5
2 72 3.39813E+10 0.18800 0.20700 0.97531 30.24780 5.0E+5
2 73 1.91091E+07 0.28800 0.34985 0.09877 35.70240 5.0E+5
2 74 1.91091E+09 0.38800 0.49271 0.20988 41.15700 5.0E+5
2 75 1.91091E+08 0.48800 0.63557 0.32099 46.61160 5.0E+5
2 76 1.91091E+10 0.01200 0.77843 0.43210 52.06620 5.0E+5
2 77 6.04282E+07 0.11200 0.92128 0.54321 57.52080 5.0E+5
2 78 6.04282E+09 0.21200 0.08455 0.65432 3.47100 5.0E+5
2 79 6.04282E+08 0.31200 0.22741 0.76543 8.92560 5.0E+5
2 80 6.04282E+10 0.41200 0.37026 0.87654 14.38020 5.0E+5
2 81 1.43298E+07 0.03200 0.51312 0.98765 19.83480 5.0E+5
2 82 1.43298E+09 0.13200 0.65598 0.00137 25.28940 5.0E+5
2 83 1.43298E+08 0.23200 0.79883 0.11248 30.74400 5.0E+5
2 84 1.43298E+10 0.33200 0.94169 0.22359 36.19860 5.0E+5
2 85 4.53148E+07 0.43200 0.10496 0.33471 41.65260 5.0E+5
2 86 4.53148E+09 0.05200 0.24781 0.44582 47.10720 5.0E+5
2 87 4.53148E+08 0.15200 0.39067 0.55693 52.56180 5.0E+5
2 88 4.53148E+10 0.25200 0.53353 0.66804 58.01640 5.0E+5
2 89 2.54824E+07 0.35200 0.67638 0.77915 3.96720 5.0E+5
2 90 2.54824E+09 0.45200 0.81924 0.89026 9.42120 5.0E+5
2 91 2.54824E+08 0.07200 0.96210 0.01372 14.87580 5.0E+5
2 92 2.54824E+10 0.17200 0.12536 0.12483 20.33040 5.0E+5
2 93 8.05824E+07 0.27200 0.26822 0.23594 25.78500 5.0E+5
2 94 8.05824E+09 0.37200 0.41108 0.34705 31.23960 5.0E+5
2 95 8.05824E+08 0.47200 0.55394 0.45816 36.69420 5.0E+5
2 96 8.05824E+10 0.09200 0.69679 0.56927 42.14880 5.0E+5
2 97 1.24097E+07 0.19200 0.83965 0.68038 47.60340 5.0E+5
2 98 1.24097E+09 0.29200 0.98251 0.79150 53.05800 5.0E+5
2 99 1.24097E+08 0.39200 0.00583 0.90261 58.51260 5.0E+5
2 100 1.24097E+10 0.49200 0.14869 0.02606 4.46280 5.0E+5
2 101 3.92428E+07 0.01600 0.29155 0.13717 9.91740 5.0E+5
2 102 3.92428E+09 0.11600 0.43440 0.24829 15.37200 5.0E+5
2 103 3.92428E+08 0.21600 0.57726 0.35940 20.82660 5.0E+5
2 104 3.92428E+10 0.31600 0.72012 0.47051 26.28120 5.0E+5
2 105 2.20678E+07 0.41600 0.86297 0.58162 31.73580 5.0E+5
2 106 2.20678E+09 0.03600 0.02624 0.69273 37.18980 5.0E+5
2 107 2.20678E+08 0.13600 0.16910 0.80384 42.64440 5.0E+5
2 108 2.20678E+10 0.23600 0.31195 0.91495 48.09900 5.0E+5
2 109 6.97847E+07 0.33600 0.45481 0.03841 53.55360 5.0E+5
2 110 6.97847E+09 0.43600 0.59767 0.14952 59.00820 5.0E+5
2 111 6.97847E+08 0.05600 0.74052 0.26063 4.95840 5.0E+5
2 112 6.97847E+10 0.15600 0.88338 0.37174 10.41300 5.0E+5
2 113 1.65486E+07 0.25600 0.04665 0.48285 15.86760 5.0E+5
2 114 1.65486E+09 0.35600 0.18950 0.59396 21.32220 5.0E+5
2 115 1.65486E+08 0.45600 0.33236 0.70508 26.77680 5.0E+5
2 116 1.65486E+10 0.07600 0.47522 0.81619 32.23140 5.0E+5
2 117 5.23311E+07 0.17600 0.61808 0.92730 37.68600 5.0E+5
2 118 5.23311E+09 0.27600 0.76093 0.05075 43.14060 5.0E+5
2 119 5.23311E+08 0.37600 0.90379 0.16187 48.59520 5.0E+5
2 120 5.23311E+10 0.47600 0.06706 0.27298 54.04980 5.0E+5
2 121 2.94279E+07 0.09600 0.20991 0.38409 59.50440 5.0E+5
2 122 2.94279E+09 0.19600 0.35277 0.49520 0.04500 5.0E+5
2 123 2.94279E+08 0.29600 0.49563 0.60631 5.49960 5.0E+5
2 124 2.94279E+10 0.39600 0.63848 0.71742 10.95420 5.0E+5
2 125 9.30593E+07 0.49600 0.78134 0.82853 16.40880 5.0E+5
2 126 9.30593E+09 0.00080 0.92420 0.93964 21.86340 5.0E+5
2 127 9.30593E+08 0.10080 0.08746 0.06310 27.31800 5.0E+5
2 128 9.30593E+10 0.20080 0.23032 0.17421 32.77260 5.0E+5
2 129 1.03667E+07 0.30080 0.37318 0.28532 38.22660 5.0E+5
2 130 1.03667E+09 0.40080 0.51603 0.39643 43.68120 5.0E+5
2 131 1.03667E+08 0.02080 0.65889 0.50754 49.13580 5.0E+5
2 132 1.03667E+10 0.12080 0.80175 0.61866 54.59040 5.0E+5
2 133 3.27823E+07 0.22080 0.94461 0.72977 0.54120 5.0E+5
2 134 3.27823E+09 0.32080 0.10787 0.84088 5.99520 5.0E+5
2 135 3.27823E+08 0.42080 0.25073 0.95199 11.44980 5.0E+5
2 136 3.27823E+10 0.04080 0.39359 0.07545 16.90440 5.0E+5
2 137 1.84349E+07 0.14080 0.53644 0.18656 22.35900 5.0E+5
2 138 1.84349E+09 0.24080 0.67930 0.29767 27.81360 5.0E+5
2 139 1.84349E+08 0.34080 0.82216 0.40878 33.26820 5.0E+5
2 140 1.84349E+10 0.44080 0.96501 0.51989 38.72280 5.0E+5
2 141 5.82962E+07 0.06080 0.12828 0.63100 44.17740 5.0E+5
2 142 5.82962E+09 0.16080 0.27114 0.74211 49.63200 5.0E+5
2 143 5.82962E+08 0.26080 0.41399 0.85322 55.08660 5.0E+5
2 144 5.82962E+10 0.36080 0.55685 0.96433 1.03680 5.0E+5
2 145 1.38242E+07 0.46080 0.69971 0.08779 6.49140 5.0E+5
2 146 1.38242E+09 0.08080 0.84257 0.19890 11.94600 5.0E+5
2 147 1.38242E+08 0.18080 0.98542 0.31001 17.40060 5.0E+5
2 148 1.38242E+10 0.28080 0.00875 0.42112 22.85520 5.0E+5
2 149 4.37160E+07 0.38080 0.15160 0.53224 28.30980 5.0E+5
2 150 4.37160E+09 0.48080 0.29446 0.64335 33.76380 5.0E+5
2 151 4.37160E+08 0.00480 0.43732 0.75446 39.21840 5.0E+5
2 152 4.37160E+10 0.10480 0.58017 0.86557 44.67300 5.0E+5
2 153 2.45833E+07 0.20480 0.72303 0.97668 50.12760 5.0E+5
2 154 2.45833E+09 0.30480 0.86589 0.10014 55.58220 5.0E+5
2 155 2.45833E+08 0.40480 0.02915 0.21125 1.53240 5.0E+5
2 156 2.45833E+10 0.02480 0.17201 0.32236 6.98700 5.0E+5
2 157 7.77392E+07 0.12480 0.31487 0.43347 12.44160 5.0E+5
2 158 7.77392E+09 0.22480 0.45773 0.54458 17.89620 5.0E+5
2 159 7.77392E+08 0.32480 0.60058 0.65569 23.35080 5.0E+5
2 160 7.77392E+10 0.42480 0.74344 0.76680 28.80540 5.0E+5
2 161 1.19707E+07 0.04480 0.88630 0.87791 34.26000 5.0E+5
2 162 1.19707E+09 0.14480 0.04956 0.98903 39.71460 5.0E+5
2 163 1.19707E+08 0.24480 0.19242 0.00274 45.16920 5.0E+5
2 164 1.19707E+10 0.34480 0.33528 0.11385 50.62380 5.0E+5
2 165 3.78547E+07 0.44480 0.47813 0.22497 56.07840 5.0E+5
2 166 3.78547E+09 0.06480 0.62099 0.33608 2.02860 5.0E+5
2 167 3.78547E+08 0.16480 0.76385 0.44719 7.48320 5.0E+5
2 168 3.78547E+10 0.26480 0.90671 0.55830 12.93780 5.0E+5
2 169 2.12873E+07 0.36480 0.06997 0.66941 18.39240 5.0E+5
2 170 2.12873E+09 0.46480 0.21283 0.78052 23.84700 5.0E+5
2 171 2.12873E+08 0.08480 0.35569 0.89163 29.30100 5.0E+5
2 172 2.12873E+10 0.18480 0.49854 0.01509 34.75560 5.0E+5
2 173 6.73163E+07 0.28480 0.64140 0.12620 40.21020 5.0E+5
2 174 6.73163E+09 0.38480 0.78426 0.23731 45.66480 5.0E+5
2 175 6.73163E+08 0.48480 0.92711 0.34842 51.11940 5.0E+5
2 176 6.73163E+10 0.00880 0.09038 0.45953 56.57400 5.0E+5
2 177 1.59632E+07 0.10880 0.23324 0.57064 2.52420 5.0E+5
2 178 1.59632E+09 0.20880 0.37609 0.68176 7.97880 5.0E+5
2 179 1.59632E+08 0.30880 0.51895 0.79287 13.43340 5.0E+5
2 180 1.59632E+10 0.40880 0.66181 0.90398 18.88800 5.0E+5
2 181 5.04801E+07 0.02880 0.80466 0.02743 24.34260 5.0E+5
2 182 5.04801E+09 0.12880 0.94752 0.13855 29.79720 5.0E+5
2 183 5.04801E+08 0.22880 0.11079 0.24966 35.25180 5.0E+5
2 184 5.04801E+10 0.32880 0.25364 0.36077 40.70640 5.0E+5
2 185 2.83870E+07 0.42880 0.39650 0.47188 46.16100 5.0E+5
2 186 2.83870E+09 0.04880 0.53936 0.58299 51.61560 5.0E+5
2 187 2.83870E+08 0.14880 0.68222 0.69410 57.06960 5.0E+5
2 188 2.83870E+10 0.24880 0.82507 0.80521 3.02040 5.0E+5
2 189 8.97677E+07 0.34880 0.96793 0.91632 8.47500 5.0E+5
2 190 8.97677E+09 0.44880 0.13120 0.03978 13.92960 5.0E+5
2 191 8.97677E+08 0.06880 0.27405 0.15089 19.38420 5.0E+5
2 192 8.97677E+10 0.16880 0.41691 0.26200 24.83820 5.0E+5
2 193 1.11399E+07 0.26880 0.55977 0.37311 30.29280 5.0E+5
2 194 1.11399E+09 0.36880 0.70262 0.48422 35.74740 5.0E+5
2 195 1.11399E+08 0.46880 0.84548 0.59534 41.20200 5.0E+5
2 196 1.11399E+10 0.08880 0.98834 0.70645 46.65660 5.0E+5
2 197 3.52274E+07 0.18880 0.01166 0.81756 52.11120 5.0E+5
2 198 3.52274E+09 0.28880 0.15452 0.92867 57.56580 5.0E+5
2 199 3.52274E+08 0.38880 0.29738 0.05213 3.51600 5.0E+5
2 200 3.52274E+10 0.48880 0.44023 0.16324 8.97060 5.0E+5
2 201 1.98098E+07 0.01280 0.58309 0.27435 14.42520 5.0E+5
2 202 1.98098E+09 0.11280 0.72595 0.38546 19.87980 5.0E+5
2 203 1.98098E+08 0.21280 0.86880 0.49657 25.33440 5.0E+5
2 204 1.98098E+10 0.31280 0.03207 0.60768 30.78900 5.0E+5
2 205 6.26441E+07 0.41280 0.17493 0.71879 36.24360 5.0E+5
2 206 6.26441E+09 0.03280 0.31778 0.82990 41.69820 5.0E+5
2 207 6.26441E+08 0.13280 0.46064 0.94102 47.15280 5.0E+5
2 208 6.26441E+10 0.23280 0.60350 0.06447 52.60680 5.0E+5
2 209 1.48553E+07 0.33280 0.74636 0.17558 58.06140 5.0E+5
2 210 1.48553E+09 0.43280 0.88921 0.28669 4.01220 5.0E+5
2 211 1.48553E+08 0.05280 0.05248 0.39781 9.46680 5.0E+5
2 212 1.48553E+10 0.15280 0.19534 0.50892 14.92140 5.0E+5
2 213 4.69764E+07 0.25280 0.33819 0.62003 20.37540 5.0E+5
2 214 4.69764E+09 0.35280 0.48105 0.73114 25.83000 5.0E+5
2 215 4.69764E+08 0.45280 0.62391 0.84225 31.28460 5.0E+5
2 216 4.69764E+10 0.07280 0.76676 0.95336 36.73920 5.0E+5
2 217 2.64168E+07 0.17280 0.90962 0.07682 42.19380 5.0E+5
2 218 2.64168E+09 0.27280 0.07289 0.18793 47.64840 5.0E+5
2 219 2.64168E+08 0.37280 0.21574 0.29904 53.10300 5.0E+5
2 220 2.64168E+10 0.47280 0.35860 0.41015 58.55760 5.0E+5
2 221 8.35372E+07 0.09280 0.50146 0.52126 4.50780 5.0E+5
2 222 8.35372E+09 0.19280 0.64431 0.63237 9.96240 5.0E+5
2 223 8.35372E+08 0.29280 0.78717 0.74348 15.41700 5.0E+5
2 224 8.35372E+10 0.39280 0.93003 0.85460 20.87160 5.0E+5
2 225 1.28635E+07 0.49280 0.09329 0.96571 26.32620 5.0E+5
2 226 1.28635E+09 0.01680 0.23615 0.08916 31.78080 5.0E+5
2 227 1.28635E+08 0.11680 0.37901 0.20027 37.23540 5.0E+5
2 228 1.28635E+10 0.21680 0.52187 0.31139 42.69000 5.0E+5
2 229 4.06780E+07 0.31680 0.66472 0.42250 48.14400 5.0E+5
2 230 4.06780E+09 0.41680 0.80758 0.53361 53.59860 5.0E+5
2 231 4.06780E+08 0.03680 0.95044 0.64472 59.05320 5.0E+5
2 232 4.06780E+10 0.13680 0.11370 0.75583 5.00400 5.0E+5
2 233 2.28749E+07 0.23680 0.25656 0.86694 10.45860 5.0E+5
2 234 2.28749E+09 0.33680 0.39942 0.97805 15.91260 5.0E+5
2 235 2.28749E+08 0.43680 0.54227 0.10151 21.36720 5.0E+5
2 236 2.28749E+10 0.05680 0.68513 0.21262 26.82180 5.0E+5
2 237 7.23369E+07 0.15680 0.82799 0.32373 32.27640 5.0E+5
2 238 7.23369E+09 0.25680 0.97085 0.43484 37.73100 5.0E+5
2 239 7.23369E+08 0.35680 0.13411 0.54595 43.18560 5.0E+5
2 240 7.23369E+10 0.45680 0.27697 0.65706 48.64020 5.0E+5
2 241 1.71538E+07 0.07680 0.41983 0.76818 54.09480 5.0E+5
2 242 1.71538E+09 0.17680 0.56268 0.87929 59.54940 5.0E+5
2 243 1.71538E+08 0.27680 0.70554 0.99040 0.09000 5.0E+5
2 244 1.71538E+10 0.37680 0.84840 0.00412 5.54460 5.0E+5
2 245 5.42450E+07 0.47680 0.99125 0.11523 10.99920 5.0E+5
2 246 5.42450E+09 0.09680 0.01458 0.22634 16.45380 5.0E+5
2 247 5.42450E+08 0.19680 0.15743 0.33745 21.90840 5.0E+5
2 248 5.42450E+10 0.29680 0.30029 0.44856 27.36300 5.0E+5
2 249 3.05042E+07 0.39680 0.44315 0.55967 32.81760 5.0E+5
2 250 3.05042E+09 0.49680 0.58601 0.67078 38.27220 5.0E+5
2 251 3.05042E+08 0.00160 0.72886 0.78189 43.72680 5.0E+5
2 252 3.05042E+10 0.10160 0.87172 0.89300 49.18080 5.0E+5
2 253 9.64628E+07 0.20160 0.03499 0.01646 54.63540 5.0E+5
2 254 9.64628E+09 0.30160 0.17784 0.12757 0.58620 5.0E+5
2 255 9.64628E+08 0.40160 0.32070 0.23868 6.04080 5.0E+5
2 256 9.64628E+10 0.02160 0.46356 0.34979 11.49540 5.0E+5
2 257 1.01812E+07 0.12160 0.60641 0.46091 16.94940 5.0E+5
2 258 1.01812E+09 0.22160 0.74927 0.57202 22.40400 5.0E+5
2 259 1.01812E+08 0.32160 0.89213 0.68313 27.85860 5.0E+5
2 260 1.01812E+10 0.42160 0.05539 0.79424 33.31320 5.0E+5
2 261 3.21959E+07 0.04160 0.19825 0.90535 38.76780 5.0E+5
2 262 3.21959E+09 0.14160 0.34111 0.02881 44.22240 5.0E+5
2 263 3.21959E+08 0.24160 0.48397 0.13992 49.67700 5.0E+5
2 264 3.21959E+10 0.34160 0.62682 0.25103 55.13160 5.0E+5
2 265 1.81051E+07 0.44160 0.76968 0.36214 1.08180 5.0E+5
2 266 1.81051E+09 0.06160 0.91254 0.47325 6.53640 5.0E+5
2 267 1.81051E+08 0.16160 0.07580 0.58436 11.99100 5.0E+5
2 268 1.81051E+10 0.26160 0.21866 0.69547 17.44560 5.0E+5
2 269 5.72532E+07 0.36160 0.36152 0.80658 22.90020 5.0E+5
2 270 5.72532E+09 0.46160 0.50437 0.91770 28.35480 5.0E+5
2 271 5.72532E+08 0.08160 0.64723 0.04115 33.80940 5.0E+5
2 272 5.72532E+10 0.18160 0.79009 0.15226 39.26400 5.0E+5
2 273 1.35769E+07 0.28160 0.93294 0.26337 44.71800 5.0E+5
2 274 1.35769E+09 0.38160 0.09621 0.37449 50.17260 5.0E+5
2 275 1.35769E+08 0.48160 0.23907 0.48560 55.62720 5.0E+5
2 276 1.35769E+10 0.00560 0.38192 0.59671 1.57800 5.0E+5
2 277 4.29339E+07 0.10560 0.52478 0.70782 7.03260 5.0E+5
2 278 4.29339E+09 0.20560 0.66764 0.81893 12.48660 5.0E+5
2 279 4.29339E+08 0.30560 0.81050 0.93004 17.94120 5.0E+5
2 280 4.29339E+10 0.40560 0.95335 0.05350 23.39580 5.0E+5
2 281 2.41435E+07 0.02560 0.11662 0.16461 28.85040 5.0E+5
2 282 2.41435E+09 0.12560 0.25948 0.27572 34.30500 5.0E+5
2 283 2.41435E+08 0.22560 0.40233 0.38683 39.75960 5.0E+5
2 284 2.41435E+10 0.32560 0.54519 0.49794 45.21420 5.0E+5
2 285 7.63484E+07 0.42560 0.68805 0.60905 50.66880 5.0E+5
2 286 7.63484E+09 0.04560 0.83090 0.72016 56.12340 5.0E+5
2 287 7.63484E+08 0.14560 0.97376 0.83128 2.07360 5.0E+5
2 288 7.63484E+10 0.24560 0.13703 0.94239 7.52820 5.0E+5
2 289 1.17576E+07 0.34560 0.27988 0.06584 12.98280 5.0E+5
2 290 1.17576E+09 0.44560 0.42274 0.17695 18.43740 5.0E+5
2 291 1.17576E+08 0.06560 0.56560 0.28807 23.89200 5.0E+5
2 292 1.17576E+10 0.16560 0.70845 0.39918 29.34660 5.0E+5
2 293 3.71809E+07 0.26560 0.85131 0.51029 34.80120 5.0E+5
2 294 3.71809E+09 0.36560 0.99417 0.62140 40.25520 5.0E+5
2 295 3.71809E+08 0.46560 0.01749 0.73251 45.70980 5.0E+5
2 296 3.71809E+10 0.08560 0.16035 0.84362 51.16440 5.0E+5
2 297 2.09084E+07 0.18560 0.30321 0.95473 56.61900 5.0E+5
2 298 2.09084E+09 0.28560 0.44606 0.07819 2.56920 5.0E+5
2 299 2.09084E+08 0.38560 0.58892 0.18930 8.02380 5.0E+5
2 300 2.09084E+10 0.48560 0.73178 0.30041 13.47840 5.0E+5
2 301 6.61180E+07 0.00960 0.87464 0.41152 18.93300 5.0E+5
2 302 6.61180E+09 0.10960 0.03790 0.52263 24.38760 5.0E+5
2 303 6.61180E+08 0.20960 0.18076 0.63374 29.84220 5.0E+5
2 304 6.61180E+10 0.30960 0.32362 0.74486 35.29680 5.0E+5
2 305 1.56791E+07 0.40960 0.46647 0.85597 40.75140 5.0E+5
2 306 1.56791E+09 0.02960 0.60933 0.96708 46.20600 5.0E+5
2 307 1.56791E+08 0.12960 0.75219 0.09053 51.66060 5.0E+5
2 308 1.56791E+10 0.22960 0.89504 0.20165 57.11520 5.0E+5
2 309 4.95815E+07 0.32960 0.05831 0.31276 3.06540 5.0E+5
2 310 4.95815E+09 0.42960 0.20117 0.42387 8.52000 5.0E+5
2 311 4.95815E+08 0.04960 0.34402 0.53498 13.97460 5.0E+5
2 312 4.95815E+10 0.14960 0.48688 0.64609 19.42920 5.0E+5
2 313 2.78817E+07 0.24960 0.62974 0.75720 24.88380 5.0E+5
2 314 2.78817E+09 0.34960 0.77259 0.86831 30.33780 5.0E+5
2 315 2.78817E+08 0.44960 0.91545 0.97942 35.79240 5.0E+5
2 316 2.78817E+10 0.06960 0.07872 0.10288 41.24700 5.0E+5
2 317 8.81698E+07 0.16960 0.22157 0.21399 46.70160 5.0E+5
2 318 8.81698E+09 0.26960 0.36443 0.32510 52.15620 5.0E+5
2 319 8.81698E+08 0.36960 0.50729 0.43621 57.61080 5.0E+5
2 320 8.81698E+10 0.46960 0.65015 0.54733 3.56100 5.0E+5
2 321 1.09416E+07 0.08960 0.79300 0.65844 9.01560 5.0E+5
2 322 1.09416E+09 0.18960 0.93586 0.76955 14.47020 5.0E+5
2 323 1.09416E+08 0.28960 0.09913 0.88066 19.92480 5.0E+5
2 324 1.09416E+10 0.38960 0.24198 0.99177 25.37940 5.0E+5
2 325 3.46003E+07 0.48960 0.38484 0.00549 30.83400 5.0E+5
2 326 3.46003E+09 0.01360 0.52770 0.11660 36.28860 5.0E+5
2 327 3.46003E+08 0.11360 0.67055 0.22771 41.74320 5.0E+5
2 328 3.46003E+10 0.21360 0.81341 0.33882 47.19780 5.0E+5
2 329 1.94572E+07 0.31360 0.95627 0.44993 52.65240 5.0E+5
2 330 1.94572E+09 0.41360 0.11953 0.56104 58.10640 5.0E+5
2 331 1.94572E+08 0.03360 0.26239 0.67215 4.05720 5.0E+5
2 332 1.94572E+10 0.13360 0.40525 0.78326 9.51180 5.0E+5
2 333 6.15290E+07 0.23360 0.54810 0.89438 14.96640 5.0E+5
2 334 6.15290E+09 0.33360 0.69096 0.01783 20.42100 5.0E+5
2 335 6.15290E+08 0.43360 0.83382 0.12894 25.87500 5.0E+5
2 336 6.15290E+10 0.05360 0.97668 0.24005 31.32960 5.0E+5
2 337 1.45908E+07 0.15360 0.13994 0.35117 36.78420 5.0E+5
2 338 1.45908E+09 0.25360 0.28280 0.46228 42.23880 5.0E+5
2 339 1.45908E+08 0.35360 0.42566 0.57339 47.69340 5.0E+5
2 340 1.45908E+10 0.45360 0.56851 0.68450 53.14800 5.0E+5
2 341 4.61403E+07 0.07360 0.71137 0.79561 58.60260 5.0E+5
2 342 4.61403E+09 0.17360 0.85423 0.90672 4.55280 5.0E+5
2 343 4.61403E+08 0.27360 0.99708 0.03018 10.00740 5.0E+5
2 344 4.61403E+10 0.37360 0.00042 0.14129 15.46200 5.0E+5
2 345 2.59466E+07 0.47360 0.14327 0.25240 20.91660 5.0E+5
2 346 2.59466E+09 0.09360 0.28613 0.36351 26.37120 5.0E+5
2 347 2.59466E+08 0.19360 0.42899 0.47462 31.82580 5.0E+5
2 348 2.59466E+10 0.29360 0.57185 0.58573 37.28040 5.0E+5
2 349 8.20503E+07 0.39360 0.71470 0.69684 42.73500 5.0E+5
2 350 8.20503E+09 0.49360 0.85756 0.80796 48.18960 5.0E+5
2 351 8.20503E+08 0.01760 0.02082 0.91907 53.64360 5.0E+5
2 352 8.20503E+10 0.11760 0.16368 0.04252 59.09820 5.0E+5
2 353 1.26346E+07 0.21760 0.30654 0.15364 5.04900 5.0E+5
2 354 1.26346E+09 0.31760 0.44940 0.26475 10.50360 5.0E+5
2 355 1.26346E+08 0.41760 0.59225 0.37586 15.95820 5.0E+5
2 356 1.26346E+10 0.03760 0.73511 0.48697 21.41220 5.0E+5
2 357 3.99540E+07 0.13760 0.87797 0.59808 26.86680 5.0E+5
